agency_cd,site_no,station_nm,dec_lat_va,dec_long_v,coord_acy_,dec_coord_,alt_va,alt_acy_va,alt_datum_,huc_cd,nat_aqfr_c,aqfr_cd,well_depth,hole_depth,qw_begin_d,qw_end_dat,qw_count_n,gw_begin_d,gw_end_dat,gw_count_n,mean_Jan,mean_Feb,mean_Mar,mean_Apr,mean_May,mean_Jun,mean_Jul,mean_Aug,mean_Sep,mean_Oct,mean_Nov,mean_Dec
USGS,175711066143600,"PIEZOMETER JBNERR EAST 1 SALINAS, PR",17.951022699999999,-66.242861980000001,"5",NAD83,4.900000000000000,1.600000000000000,NGVD29,"21010004",N300STHCST,110SCPL,74.000000000000000,75.000000000000000,2007-05-16,2015-09-23,"7",2005-11-18,2019-01-15,"119","2.0345454545454547","1.8928571428571428","2.5142857142857147","2.1989999999999994","2.4641666666666664","2.065","2.234","1.8872727272727277","1.947142857142857","2.3489999999999998","2.195","1.669090909090909"
USGS,175711066143601,"PIEZOMETER JBNERR EAST 2 SALINAS, PR",17.951019920000000,-66.242870300000007,"5",NAD83,4.900000000000000,1.600000000000000,NGVD29,"21010004",N300STHCST,110SCPL,17.000000000000000,17.000000000000000,2007-05-17,2008-05-14,"2",2005-11-18,2019-03-19,"111","5.295","5.734285714285716","5.831428571428572","6.045000000000001","6.28625","5.318888888888889","6.835454545454547","5.758181818181819","6.008571428571428","5.921111111111111","6.516666666666667","5.505000000000001"
USGS,175721066151400,"PIEZOMETER JBNERR WEST 1 SALINAS, PR",17.953911450000000,-66.253417690000006,"5",NAD83,6.900000000000000,1.600000000000000,NGVD29,"21010004",N300STHCST,110SCPL,87.000000000000000,100.000000000000000,2007-05-16,2015-01-28,"5",2005-11-18,2019-01-15,"120","1.618181818181818","1.6481818181818182","2.2142857142857144","1.8719999999999999","2.323846153846154","1.7822222222222222","1.717","1.748","1.9949999999999999","1.3584615384615382","1.706","1.0615384615384615"
USGS,175721066151401,"PIEZOMETER JBNERR WEST 2 SALINAS, PR",17.953905899999999,-66.253412100000006,"5",NAD83,6.900000000000000,1.600000000000000,NGVD29,"21010004",N300STHCST,110SCPL,20.000000000000000,20.000000000000000,2007-05-16,2007-05-16,"1",2005-11-18,2019-03-19,"119","7.683999999999999","7.77","8.620000000000001","8.322","9.369999999999997","8.428888888888888","9.117999999999999","8.676","8.955","6.752499999999999","7.949999999999998","6.396923076923078"
USGS,175735066151800,"PIEZOMETER C RASA, SALINAS, PR",17.957744600000002,-66.254612199999997,"5",NAD83,14.800000000000001,1.600000000000000,NGVD29,"21010004",N300STHCST,110SCPL,82.000000000000000,104.000000000000000,1986-03-20,2008-04-16,"9",1985-08-29,2009-03-04,"150","9.709999999999999","10.339333333333334","10.472499999999998","10.308571428571428","10.640833333333333","10.214166666666666","10.366","10.475333333333335","10.144166666666667","9.501428571428573","9.891818181818183","9.62076923076923"
USGS,175833066145800,"PIEZOMETER A RASA, SALINAS, PR",17.988298830000002,-66.247834280000006,"5",NAD83,89.420000000000002,1.600000000000000,NGVD29,"21010004",N300STHCST,110SCPL,,75.000000000000000,1986-03-20,2008-05-14,"9",1985-08-28,2019-03-20,"269","53.9878947368421","55.74826086956522","55.435454545454554","57.54130434782608","58.07187499999999","57.58105263157895","57.87263157894738","56.945652173913054","59.23684210526316","56.55840000000001","54.97","53.4415"
USGS,175848066170700,"PIEZOMETER RASA G SALINAS, PR",17.978049290000001,-66.284945899999997,"5",NAD83,40.619999999999997,1.600000000000000,NGVD29,"21010004",N300STHCST,110SCPL,167.000000000000000,167.000000000000000,2003-04-28,2008-05-14,"4",1986-03-17,2015-10-09,"164","27.010000000000005","27.828571428571426","27.33466666666666","28.3535294117647","28.570833333333336","28.921666666666667","29.504166666666663","30.136874999999996","30.73538461538462","29.657333333333334","28.540833333333335","27.354999999999997"
USGS,175910066155500,"PIEZOMETER RASA D, SALINAS, PR",17.984354560000000,-66.265223370000001,"5",NAD83,72.180000000000007,1.600000000000000,NGVD29,"21010004",N300STHCST,110SCPL,,87.000000000000000,1986-03-19,2008-04-03,"5",1985-08-01,2019-03-20,"191","35.466923076923074","37.097894736842115","35.831176470588225","39.693749999999994","39.7125","40.67","40.80928571428571","41.3421052631579","42.668124999999996","37.57722222222222","37.596000000000004","36.053749999999994"
USGS,175947066130601,"PIEZOMETER AGUIRRE HW 5B, SALINAS, PR",17.994131950000000,-66.216000500000007,S,NAD83,135.000000000000000,16.000000000000000,NGVD29,"21010004",N300STHCST,110SCPL,51.000000000000000,52.000000000000000,2004-02-05,2008-04-03,"6",1987-09-01,2019-04-02,"300","15.609999999999998","16.348749999999995","17.92888888888889","18.09925925925926","19.704666666666665","18.0968","16.141739130434786","18.6771875","17.476666666666667","16.14576923076923","15.367599999999998","13.977333333333336"
USGS,175957066123400,"PIEZOMETER AGUIRRE HW 13, SALINAS, PR",17.997187380000000,-66.209056000000004,S,NAD83,201.000000000000000,16.000000000000000,NGVD29,"21010004",,,69.000000000000000,69.000000000000000,--,--,"0",1987-10-29,2002-08-02,"154","45.38307692307693","45.65588235294118","46.253571428571426","46.56636363636364","46.87250000000001","46.85076923076924","47.31272727272728","47.19916666666666","47.029999999999994","46.654545454545456","46.38666666666666","43.499333333333325"
USGS,180002066132200,"PIEZOMETER AGUIRRE HW 1, SALINAS, PR",17.998576190000001,-66.222389500000006,S,NAD83,194.000000000000000,16.000000000000000,NGVD29,"21010005",,,39.500000000000000,39.500000000000000,--,--,"0",1987-09-11,2002-09-13,"150","24.706666666666663","24.83444444444445","26.81571428571429","27.7","26.45","25.84181818181818","26.382222222222218","28.007777777777775","28.529230769230768","26.755000000000003","25.3575","22.442857142857143"
USGS,180104066152300,"PIEZOMETER RM 10, SALINAS, PR",18.015797670000001,-66.256001089999998,S,NAD83,164.129999999999995,0.100000000000000,NGVD29,"21010004",N300STHCST,110SCPL,37.000000000000000,37.000000000000000,2003-02-20,2008-05-14,"8",1988-11-14,2009-03-17,"217","27.651","28.04190476190476","29.700000000000003","29.374444444444446","29.826315789473686","29.696111111111108","30.6625","30.982499999999998","29.501875000000005","26.26470588235294","26.225","27.194374999999997"
USGS,180206066135500,"PIEZOMETER RM 5, SALINAS, PR",18.033019220000000,-66.231556370000007,S,NAD83,276.350000000000023,10.000000000000000,NGVD29,"21010004",,,34.000000000000000,,--,--,"0",1988-12-02,2002-10-30,"144","12.135333333333334","13.004615384615384","12.551538461538463","13.294615384615383","14.143846153846154","14.371666666666668","15.075555555555557","13.628","13.12","11.747857142857145","11.586363636363636","11.995454545454544"
